id,consumption
17085,11.509053
17087,14.443890
29211,24.101087
17089,8.122770
17091,6.088215
17093,13.306190
17095,7.875455
17097,6.088215
17099,15.595413
17101,8.998624
17103,9.585351
17105,13.677495
17107,7.626054
17109,8.855161
17111,6.271351
17113,7.589280
17115,8.120920
17117,8.486726
17119,7.930914
17121,10.015750
17123,13.306190
17125,7.085196
17127,20.655636
17129,7.085196
17131,7.191936
17133,10.168403
17135,8.295799
17137,8.067734
17139,13.644355
17141,9.585351
17143,6.897114
17145,8.149253
17147,8.686199
29213,6.465765
17149,7.362910
17151,7.766773
17153,14.878862
17155,7.217975
17157,9.040320
17159,10.760848
17161,0.514819
17163,9.777934
31123,17.449080
17165,11.362842
17167,17.087447
17169,9.283434
17171,7.362910
17173,8.796271
17175,7.217975
17177,7.061597
17179,7.626054
17181,9.758165
17183,7.749010
17185,18.992501
17187,7.114599
17189,8.354717
17191,13.707233
17193,16.508737
48507,1.287138
17195,12.847647
17197,6.950623
9007,4.161292
17201,6.271351
9011,8.395067
9013,4.161292
9015,4.161292
29215,8.497005
50001,8.443112
50003,7.156991
50005,10.163897
50007,10.610430
50009,9.470226
50011,10.118554
50013,1.286121
50015,14.236665
50017,7.627759
50019,4.008344
50021,7.156991
50023,8.345180
50025,7.269026
50027,7.963976
29217,7.807388
13045,11.611978
29219,13.127727
54043,6.931631
21037,13.935520
1001,16.017155
1003,27.232248
1005,17.742008
1007,15.234599
1009,13.612673
1011,15.193529
1013,15.113948
1015,15.541670
1017,18.776619
1019,14.774887
1021,15.234599
1023,14.592966
1025,18.099880
1027,15.380759
1029,14.930062
1031,20.091671
1033,21.949125
1035,19.492343
1037,15.234599
1039,30.765126
1041,19.930916
1043,22.448605
1045,25.722405
1047,16.997448
42009,8.814622
1051,15.234599
1053,16.664464
1055,16.981195
1057,15.409997
1059,20.065563
1061,17.573845
1063,14.592966
42025,5.341147
1067,16.788318
1069,21.380391
13129,22.198218
1071,10.585318
42033,3.586775
1075,15.409997
42037,4.465449
42039,4.941316
42041,9.506276
1083,10.986622
1085,17.598010
40135,10.573792
1087,22.080560
42049,3.534123
42051,3.867620
42053,3.471424
1095,31.090721
1097,15.213094
1099,25.129343
42061,7.427352
42063,7.169428
42065,7.169428
42067,7.721210
1109,14.765677
1111,14.930062
1113,14.930062
1115,14.063370
1117,14.063370
1119,14.592966
1121,18.056662
42083,7.424273
1125,14.592966
1127,13.612673
1129,19.700301
13131,23.865403
1131,18.882436
1133,17.390183
42095,5.997623
42097,5.594262
42099,7.509941
6039,0.978848
42101,5.460464
42103,6.785408
42105,7.121549
40137,24.558776
42107,4.762469
42109,4.317106
49009,4.105743
42111,8.228101
42113,3.472395
42115,7.520367
42117,6.580465
42119,6.333369
42121,3.592886
42123,3.426988
42125,3.582653
42127,7.269454
42129,7.218242
42131,7.520367
42133,12.032232
29227,5.919809
22043,17.957243
20209,22.919481
48323,0.157410
34001,1.921235
34003,3.283393
34005,6.487334
34007,4.718414
34009,1.921235
34011,6.062708
34013,4.550513
34015,4.718414
34017,2.797179
34019,4.550513
34021,4.550513
34023,4.670506
34025,4.550513
34027,4.950953
6043,0.537183
34029,3.754310
34031,5.115193
34033,4.718414
34035,4.550513
34037,5.245865
34039,4.550513
34041,4.550513
