source,target,value
17029,5531,10.0
17031,20824,10.0
17031,4110,10.0
17033,56697,10.0
17033,13292,10.0
17035,17040,10.0
17035,7633,10.0
17035,3931,10.0
17035,13292,10.0
17035,56697,10.0
17037,4110,10.0
17039,6192,10.0
17039,56697,10.0
17039,4362,10.0
17041,5585,10.0
17041,3931,10.0
17041,5531,10.0
17041,56697,10.0
17043,13208,10.0
17043,17860,10.0
17043,4110,10.0
17045,5585,10.0
17045,3931,10.0
17045,5531,10.0
17045,56697,10.0
17047,56697,10.0
17047,20222,10.0
17049,17697,10.0
17049,13292,10.0
17049,3726,10.0
17049,17040,10.0
17049,406,10.0
17049,56697,10.0
48341,17718,10.0
48341,16063,10.0
17051,17697,10.0
17051,3726,10.0
17051,17040,10.0
17051,8824,10.0
17051,56697,10.0
17051,3806,10.0
54033,8192,10.0
54033,12796,10.0
17053,5585,10.0
17053,4362,10.0
17053,4110,10.0
17053,56697,10.0
17055,17585,10.0
17055,18955,10.0
17055,20222,10.0
17055,56697,10.0
17057,56697,10.0
17057,40307,10.0
17057,17838,10.0
17057,12070,10.0
17059,17585,10.0
17059,20222,10.0
17059,56697,10.0
17061,8824,10.0
17061,9209,10.0
17061,40307,10.0
17061,16269,10.0
17061,56697,10.0
17063,4110,10.0
17065,17585,10.0
17065,18955,10.0
17065,20222,10.0
17065,12167,10.0
17067,29296,10.0
17067,56697,10.0
17067,40307,10.0
17067,12070,10.0
17069,17585,10.0
17071,29296,10.0
17071,56697,10.0
17071,40307,10.0
17071,12070,10.0
17073,56697,10.0
17073,4362,10.0
17073,7095,10.0
17073,12341,10.0
17073,6199,10.0
17075,5585,10.0
17075,56697,10.0
17075,20111,10.0
17077,56697,10.0
17077,5535,10.0
17079,13560,10.0
17079,56697,10.0
17079,13292,10.0
17079,3726,10.0
17081,56697,10.0
17081,18955,10.0
17081,20222,10.0
17083,8824,10.0
17083,9209,10.0
17083,56697,10.0
17085,16740,10.0
17085,9750,10.0
17085,4110,10.0
17087,17585,10.0
17087,56697,10.0
17087,17631,10.0
17089,7096,10.0
17089,17860,10.0
17089,1325,10.0
17089,4110,10.0
17091,4110,10.0
17093,56697,10.0
17093,4362,10.0
17093,4110,10.0
17095,56697,10.0
17095,4362,10.0
17095,40307,10.0
17095,17838,10.0
17095,12070,10.0
17097,4110,10.0
17099,14840,10.0
