id,consumption
42107,701854.591059
42109,171609.292913
49009,4462.942888
42111,634510.001413
42113,22351.804961
42115,320991.832455
42117,280294.898140
42119,285134.594238
42121,195032.622384
42123,141150.794733
42125,746807.697078
42127,376077.952263
42129,2621903.869280
42131,212021.711979
42133,5263030.435799
29227,12295.443570
22043,396172.688766
20209,3648208.325373
48323,8725.546359
34001,529035.138240
34003,3017470.843911
34005,2929848.671644
34007,2423797.272863
34009,185235.881688
34011,957404.682503
34013,3580994.293342
34015,1367434.070135
34017,1827589.861364
34019,574816.242270
34021,1678374.783437
34023,3844742.038440
34025,2864060.981888
34027,2463752.467544
6043,9609.132487
34029,2181047.664007
34031,2579310.459902
34033,310127.184646
34035,1493687.665831
34037,772149.341841
34039,2475943.183936
34041,490458.833652
48251,144374.770561
48127,13490.494125
48007,8507.003458
54055,432499.139427
22067,403527.592617
40053,69096.711001
48019,198557.700581
6065,4912083.463599
26001,78800.807036
26003,91222.639926
26005,651690.338298
26007,217524.145835
26009,31810.307409
26011,9523.339127
26013,140654.775628
26015,96117.722213
26017,478099.964188
26019,43155.368533
26021,291875.770864
40147,812372.961777
26023,362212.874849
26025,191746.359482
26027,118577.934363
26029,95952.086449
26031,71525.505290
26033,306669.451131
26035,50093.486471
26037,422961.546650
48331,102092.012512
26039,18981.861633
26041,821800.081098
26043,281362.321285
26045,697347.786346
26047,234208.713645
26049,611423.249771
26051,15658.107065
26053,211375.991365
26055,547907.775843
26057,112078.265912
26059,148133.999624
26061,349255.197543
26063,108698.527159
26065,1805344.504676
26067,93530.223885
26069,15570.984648
26071,122824.516002
26073,62426.058419
26075,141689.398443
26077,415635.288967
26079,54947.036888
26081,902644.458424
40149,228655.230909
26083,8585.231550
26085,15565.561218
26087,129123.137527
26089,117044.601599
26091,151288.137974
26093,267953.450210
26095,69621.503193
26097,103629.916486
48333,41678.482739
26099,720493.001548
26101,79341.084762
26103,979670.455437
26105,38883.339721
26107,70420.192081
26109,411240.905441
26111,51503.459801
26113,20374.190829
26115,222774.849449
26117,102759.169461
26119,77551.054165
26121,231075.028352
26123,65139.272418
26125,1786370.481580
26127,78958.054485
26129,13148.122503
26131,98405.474682
26133,37923.201361
26135,23773.552110
26137,66539.924555
26139,1715541.310466
26141,97567.508580
40151,157974.378521
26143,14811.424421
26145,343618.916593
26147,136546.984405
26149,325686.185985
26151,125669.866146
26153,146010.062390
26155,101438.736437
26157,146999.324341
48335,58000.921234
26159,217558.722779
26161,637419.511818
26163,2248695.675081
26165,105314.348313
40051,784758.673784
18001,99980.706777
18003,1664510.020534
18005,1434914.638472
18007,170850.611361
18009,22543.162162
40153,272842.047123
18011,1131305.245850
18013,150783.423893
18015,388890.276958
18017,877918.870693
18019,1202755.361363
18021,293269.145477
18023,326847.734932
18025,123938.085041
48337,124023.821797
18027,691351.067388
18029,814460.237999
18031,288573.329109
18033,1052219.984205
18035,999038.615943
18037,1536138.006115
18039,2320744.967443
18041,203758.086536
18043,747165.299366
39063,330145.514086
18045,221802.181300
18047,293344.701513
18049,403637.317683
18051,970740.418095
18053,668090.120325
18055,669774.700262
18057,4441346.056731
18059,1341182.948605
18061,324081.841857
18063,2326972.502208
18065,473060.251828
18067,676854.580363
18069,425620.808082
18071,405485.018029
54067,522808.017837
18075,38400.949725
18077,382504.919232
18079,394876.256560
18081,2388526.582463
18083,570035.786348
18085,1769717.488732
18087,452187.483977
18089,5020176.269136
18091,1249586.362227
18093,552177.429626
18095,2779312.959854
18097,11366254.997411
18099,728484.869945
18101,140305.424593
18103,463379.114585
18105,2113142.405950
18107,862190.765773
18109,1225593.954671
48067,241417.324296
18111,160692.394377
18113,745856.639127
18115,60968.923009
18117,231902.844312
48241,442757.705317
18119,302007.099857
18121,155557.227914
18123,326125.187381
18125,400841.245264
18127,1817732.598450
31163,24435.651858
18129,586860.688637
18131,230908.846029
18133,655520.960846
18135,245450.561803
18137,312706.636607
18139,171140.617047
18141,3663007.108679
18143,353334.260416
18145,671868.043792
18147,530916.441273
18149,266979.779730
18151,445242.208037
18153,318304.216644
18155,159457.422110
18157,1543906.151336
18159,249579.615508
18161,54088.824520
18163,2625615.433758
18165,105980.748207
18167,1058048.021296
18169,481810.101942
18171,161974.718890
18173,1456377.967664
18175,326105.673215
18177,1416481.681155
18179,550189.368462
18181,490248.040631
18183,526337.253907
10001,1584413.199092
10003,1378013.918434
10005,1194617.498414
51001,340042.859273
51003,2232045.002801
51005,178340.778134
46003,51244.764540
51007,135866.384307
51009,580269.815103
51011,287256.876065
51013,2127738.407620
51015,909819.124654
51017,51383.638797
51019,1439357.110545
51021,46795.443389
51023,548383.530556
51025,206309.241164
51027,165416.451050
51029,323263.425017
51031,1043053.468813
51033,393249.754295
51035,207415.205531
51036,68954.975126
51037,150297.189707
51041,3451946.258296
51043,309796.718405
51045,36295.344541
51047,747248.173197
51049,118122.638736
51051,113847.563338
51053,358961.956321
51057,152021.636641
51059,12736185.753942
51061,1020838.568030
51063,107024.388377
51065,465024.839950
51067,971422.078602
51069,822821.735144
51071,117736.017232
51073,354871.476368
51075,318661.679651
51077,105277.617271
51079,397799.054173
51081,131494.173179
51083,636867.527507
51085,1365561.027549
51087,3030903.383039
51089,838109.626546
51091,17165.434168
51093,481173.615007
51095,664077.469975
51097,96035.100697
51099,265164.082612
51101,216750.977908
51103,121327.061618
51105,24163.168100
51107,3839562.390012
51109,499404.303609
51111,152535.735725
51113,179308.963811
51115,85571.095196
51117,384860.511699
51119,104100.761500
51121,1180066.811405
51125,358257.496197
51127,183892.754750
51131,110457.340963
51133,133202.819562
51135,204641.051616
51137,510524.400632
51139,475365.305362
51141,232587.754236
51143,1550405.901456
51145,299861.064542
51147,278457.668196
51149,473486.694597
29005,43316.390875
51153,4896680.733300
51155,307993.459687
51157,29493.889602
51159,97672.711021
51161,940935.907607
29007,379928.818043
51165,2251087.617749
51167,206507.092374
2016,4329.000000
51169,230822.627537
51171,846448.985572
2020,2643330.259863
51173,220301.108250
51175,276420.637655
51177,1707453.588468
51179,2218536.672731
51181,88006.256310
51183,195693.010276
51185,369582.021814
51187,909871.271606
51191,503535.548575
51193,189234.804772
51195,321549.854244
51197,203256.226708
51199,635508.897795
2050,51937.000000
2060,19665.000000
2068,395.000000
2070,19580.000000
48079,73371.749102
18073,516193.490023
2090,1148651.678353
2100,13992.893891
48137,6946.228767
2105,97950.932488
2110,399144.000000
2122,737205.030914
2130,172190.000000
2150,219487.000000
6073,5041663.875613
2164,55114.000000
2170,173859.709223
2180,38144.000000
2185,93912.000000
2188,21622.000000
2198,42166.354855
2220,111401.000000
6075,1410974.095856
35001,4208450.078820
35003,27787.475158
35005,1121776.940894
35006,200398.803351
35007,174382.604376
2240,81683.855884
35009,697868.588246
35011,8601.412718
35013,2359319.437564
35015,789041.902501
