index,consumption
898,294773
899,294365
900,293765
901,293650
902,293313
903,292898
904,292491
905,292166
906,290390
907,290052
908,288574
909,288491
910,286767
911,286697
912,286089
913,286047
914,285855
915,285272
916,285239
917,284947
918,284578
919,284484
920,284260
921,284238
922,284211
923,283927
924,283221
925,282758
926,282737
927,282091
928,281786
929,281292
930,280676
931,280429
932,280175
933,279925
934,279864
935,278424
936,278148
937,277906
938,277743
939,276048
940,275480
941,275195
942,275138
943,274997
944,274600
945,274294
946,273463
947,273455
948,273196
949,272468
950,272412
951,271697
952,270344
953,269847
954,269679
955,269467
956,269136
957,267823
958,267715
959,267409
960,265921
961,265577
962,264312
963,264309
964,264258
965,263834
966,263749
967,263360
968,263016
969,263009
970,261335
971,260963
972,260827
973,260571
974,259701
975,259225
976,258700
977,258694
978,258593
979,257914
980,257829
981,257511
982,257422
983,256886
984,256650
985,256382
986,255886
987,255696
988,255296
989,255233
990,254841
991,254569
992,254441
993,251419
994,250947
995,250879
996,249297
997,248290
998,247861
999,246959
1000,246912
1001,246839
1002,246768
1003,246646
1004,245795
1005,245146
1006,245135
1007,245085
1008,244734
1009,244377
1010,243588
1011,243547
1012,243145
1013,242516
1014,242381
1015,242180
1016,242055
1017,241981
1018,241896
1019,241809
1020,240530
1021,240227
1022,240077
1023,238993
1024,238351
1025,238217
1026,238006
1027,237801
1028,237683
1029,237524
1030,237431
1031,236556
1032,236527
1033,235631
1034,235468
1035,235406
1036,235319
1037,235096
1038,234301
1039,234224
1040,234181
1041,233436
1042,233342
1043,233177
1044,232553
1045,232545
1046,231266
1047,231126
1048,230889
1049,230551
1050,230028
1051,229888
1052,229190
1053,229004
1054,228731
1055,228232
1056,227694
1057,227525
1058,227034
1059,226807
1060,226733
1061,226691
1062,226392
1063,225651
1064,225359
1065,225294
1066,224934
1067,224628
1068,224623
1069,224485
1070,224436
1071,224350
1072,223974
1073,223630
1074,222887
1075,222716
1076,222064
1077,222033
1078,221688
1079,221585
1080,221182
1081,220817
1082,220262
1083,220112
1084,219802
1085,219082
1086,218452
1087,218026
1088,217302
1089,216937
1090,216932
1091,216812
1092,216616
1093,216161
1094,215129
1095,213489
1096,213233
1097,212888
1098,212029
1099,212014
1100,211993
1101,211604
1102,211270
1103,211056
1104,210976
1105,210489
1106,210368
1107,210325
1108,209775
1109,209732
1110,209056
1111,208610
1112,208394
1113,207740
1114,207692
1115,207506
1116,207326
1117,206487
1118,206007
1119,205835
1120,205798
1121,205355
1122,204719
1123,204705
